Date,Species,Block,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent
2007-05-29,CULEX PIPIENS/RESTUANS,41,T002,41.95469,-87.800991,9,1,0
2007-05-29,CULEX RESTUANS,41,T002,41.95469,-87.800991,9,1,0
2007-05-29,CULEX RESTUANS,62,T007,41.994991,-87.769279,9,1,0
2007-05-29,CULEX PIPIENS/RESTUANS,79,T015,41.974089,-87.824812,8,1,0
2007-05-29,CULEX RESTUANS,79,T015,41.974089,-87.824812,8,4,0
2007-05-29,CULEX RESTUANS,15,T045,41.9216,-87.666455,8,2,0
2007-05-29,CULEX RESTUANS,25,T046,41.891118,-87.654491,8,1,0
2007-05-29,CULEX PIPIENS/RESTUANS,11,T048,41.867108,-87.654224,8,1,0
2007-05-29,CULEX RESTUANS,11,T048,41.867108,-87.654224,8,2,0
2007-05-29,CULEX RESTUANS,11,T049,41.896282,-87.655232,8,1,0
2007-05-29,CULEX PIPIENS/RESTUANS,21,T050,41.919343,-87.694259,8,1,0
2007-05-29,CULEX PIPIENS/RESTUANS,22,T054,41.921965,-87.632085,8,2,0
2007-05-29,CULEX RESTUANS,22,T054,41.921965,-87.632085,8,3,0
2007-05-29,CULEX PIPIENS/RESTUANS,22,T086,41.688324,-87.676709,8,1,0
2007-05-29,CULEX RESTUANS,22,T086,41.688324,-87.676709,8,1,0
2007-05-29,CULEX RESTUANS,11,T091,41.862292,-87.64886,8,1,0
2007-05-29,CULEX RESTUANS,17,T094,41.720848,-87.666014,9,3,0
2007-05-29,CULEX RESTUANS,22,T096,41.731922,-87.677512,8,5,0
2007-05-29,CULEX PIPIENS,22,T096,41.731922,-87.677512,8,1,0
2007-05-29,CULEX PIPIENS/RESTUANS,53,T129,41.891126,-87.61156,5,1,0
2007-05-29,CULEX RESTUANS,53,T129,41.891126,-87.61156,5,2,0
2007-05-29,CULEX PIPIENS/RESTUANS,65,T143,41.999129,-87.795585,8,1,0
2007-05-29,CULEX PIPIENS/RESTUANS,75,T148,42.01743,-87.687769,8,1,0
2007-05-29,CULEX RESTUANS,15,T153,41.907645,-87.760886,8,1,0
2007-05-29,CULEX RESTUANS,89,T159,41.732984,-87.649642,8,1,0
2007-06-05,CULEX PIPIENS/RESTUANS,41,T002,41.95469,-87.800991,9,3,0
2007-06-05,CULEX RESTUANS,41,T002,41.95469,-87.800991,9,5,0
2007-06-05,CULEX PIPIENS,41,T002,41.95469,-87.800991,9,1,0
2007-06-05,CULEX PIPIENS/RESTUANS,79,T015,41.974089,-87.824812,8,1,0
2007-06-05,CULEX RESTUANS,79,T015,41.974089,-87.824812,8,2,0
2007-06-05,CULEX PIPIENS/RESTUANS,15,T045,41.9216,-87.666455,8,1,0
2007-06-05,CULEX RESTUANS,15,T045,41.9216,-87.666455,8,2,0
2007-06-05,CULEX PIPIENS,15,T045,41.9216,-87.666455,8,1,0
2007-06-05,CULEX RESTUANS,25,T046,41.891118,-87.654491,8,1,0
2007-06-05,CULEX PIPIENS/RESTUANS,11,T048,41.867108,-87.654224,8,1,0
2007-06-05,CULEX RESTUANS,11,T048,41.867108,-87.654224,8,1,0
2007-06-05,CULEX PIPIENS,11,T048,41.867108,-87.654224,8,2,0
2007-06-05,CULEX RESTUANS,11,T049,41.896282,-87.655232,8,2,0
2007-06-05,CULEX PIPIENS/RESTUANS,21,T050,41.919343,-87.694259,8,1,0
2007-06-05,CULEX RESTUANS,21,T050,41.919343,-87.694259,8,1,0
2007-06-05,CULEX RESTUANS,22,T054,41.921965,-87.632085,8,3,0
2007-06-05,CULEX RESTUANS,22,T086,41.688324,-87.676709,8,4,0
2007-06-05,CULEX PIPIENS/RESTUANS,17,T094,41.720848,-87.666014,9,2,0
2007-06-05,CULEX PIPIENS/RESTUANS,22,T096,41.731922,-87.677512,8,1,0
2007-06-05,CULEX RESTUANS,22,T096,41.731922,-87.677512,8,1,0
2007-06-05,CULEX PIPIENS,22,T096,41.731922,-87.677512,8,1,0
2007-06-05,CULEX PIPIENS/RESTUANS,65,T143,41.999129,-87.795585,8,2,0
2007-06-05,CULEX RESTUANS,65,T143,41.999129,-87.795585,8,9,0
2007-06-05,CULEX RESTUANS,15,T153,41.907645,-87.760886,8,3,0
2007-06-05,CULEX RESTUANS,89,T159,41.732984,-87.649642,8,1,0
2007-06-05,CULEX RESTUANS,91,T009,41.981964,-87.812827,8,2,0
2007-06-05,CULEX RESTUANS,36,T011,41.944869,-87.832763,8,1,0
2007-06-05,CULEX RESTUANS,72,T016,42.011601,-87.811506,8,1,0
2007-06-05,CULEX RESTUANS,38,T019,41.94983,-87.698457,9,1,0
2007-06-05,CULEX RESTUANS,49,T025,41.979243,-87.750938,9,1,0
2007-06-05,CULEX RESTUANS,58,T028,41.986921,-87.689778,9,2,0
2007-06-05,CULEX PIPIENS/RESTUANS,50,T031,41.801498,-87.763416,9,1,0
2007-06-05,CULEX RESTUANS,14,T033,41.906638,-87.701431,9,3,0
2007-06-05,CULEX RESTUANS,10,T089,41.723195,-87.64997,5,1,0
2007-06-05,CULEX PIPIENS/RESTUANS,11,T090,41.868077,-87.666901,9,1,0
2007-06-05,CULEX RESTUANS,11,T090,41.868077,-87.666901,9,7,0
2007-06-05,CULEX PIPIENS/RESTUANS,11,T092,41.869216,-87.627561,8,1,0
2007-06-05,CULEX PIPIENS/RESTUANS,42,T135,41.662014,-87.724608,8,2,0
2007-06-05,CULEX RESTUANS,42,T135,41.662014,-87.724608,8,4,0
2007-06-05,CULEX PIPIENS,42,T135,41.662014,-87.724608,8,1,0
2007-06-05,CULEX PIPIENS/RESTUANS,53,T141,41.961743,-87.76007,9,1,0
2007-06-05,CULEX RESTUANS,53,T141,41.961743,-87.76007,9,2,0
2007-06-05,CULEX PIPIENS/RESTUANS,40,T142,41.953067,-87.776792,8,1,0
2007-06-05,CULEX RESTUANS,40,T142,41.953067,-87.776792,8,3,0
2007-06-05,CULEX RESTUANS,43,T145,41.878114,-87.629798,3,3,0
2007-06-05,CULEX PIPIENS/RESTUANS,42,T146,41.958271,-87.702575,9,1,0
2007-06-05,CULEX RESTUANS,42,T146,41.958271,-87.702575,9,2,0
2007-06-05,CULEX RESTUANS,28,T147,41.932094,-87.700117,8,1,0
2007-06-05,CULEX PIPIENS/RESTUANS,15,T149,41.994469,-87.667736,8,1,0
2007-06-05,CULEX RESTUANS,18,T150,42.006858,-87.675919,9,2,0
2007-06-05,CULEX PIPIENS/RESTUANS,70,T151,41.916265,-87.800515,8,1,0
2007-06-05,CULEX RESTUANS,70,T151,41.916265,-87.800515,8,10,0
2007-06-05,CULEX RESTUANS,25,T152,41.846075,-87.716277,9,1,0
2007-06-05,CULEX RESTUANS,21,T154,41.918705,-87.752329,8,1,0
2007-06-05,CULEX PIPIENS/RESTUANS,35,T158,41.682587,-87.707973,9,3,0
2007-06-05,CULEX RESTUANS,35,T158,41.682587,-87.707973,9,8,0
2007-06-05,CULEX PIPIENS/RESTUANS,93,T162,41.725517,-87.614258,8,1,0
2007-06-05,CULEX PIPIENS/RESTUANS,37,T218,41.948167,-87.730698,8,2,0
2007-06-05,CULEX RESTUANS,37,T218,41.948167,-87.730698,8,1,0
2007-06-05,CULEX RESTUANS,45,T220,41.963976,-87.69181,9,1,0
2007-06-26,CULEX PIPIENS/RESTUANS,41,T002,41.95469,-87.800991,9,1,0
2007-06-26,CULEX RESTUANS,41,T002,41.95469,-87.800991,9,4,0
2007-06-26,CULEX SALINARIUS,41,T002,41.95469,-87.800991,9,1,0
2007-06-26,CULEX PIPIENS/RESTUANS,62,T007,41.994991,-87.769279,9,1,0
2007-06-26,CULEX RESTUANS,62,T007,41.994991,-87.769279,9,4,0
2007-06-26,CULEX RESTUANS,79,T015,41.974089,-87.824812,8,1,0
2007-06-26,CULEX PIPIENS/RESTUANS,15,T045,41.9216,-87.666455,8,1,0
2007-06-26,CULEX RESTUANS,15,T045,41.9216,-87.666455,8,1,0
2007-06-26,CULEX PIPIENS/RESTUANS,25,T046,41.891118,-87.654491,8,1,0
2007-06-26,CULEX RESTUANS,25,T046,41.891118,-87.654491,8,6,0
2007-06-26,CULEX PIPIENS/RESTUANS,11,T048,41.867108,-87.654224,8,2,0
2007-06-26,CULEX RESTUANS,11,T049,41.896282,-87.655232,8,1,0
2007-06-26,CULEX RESTUANS,21,T050,41.919343,-87.694259,8,1,0
2007-06-26,CULEX PIPIENS/RESTUANS,22,T086,41.688324,-87.676709,8,1,0
2007-06-26,CULEX PIPIENS/RESTUANS,22,T086,41.688324,-87.676709,8,1,0
2007-06-26,CULEX RESTUANS,22,T086,41.688324,-87.676709,8,2,0
