loc,num_bugs,lat,long
"(41.644612000000002, -87.604497999999992)",129,41.644612,-87.604498
"(41.659112, -87.538693000000009)",1699,41.659112,-87.538693
"(41.662013999999999, -87.724607999999989)",3122,41.662014,-87.724608
"(41.673408000000002, -87.599862000000002)",21668,41.673408,-87.599862
"(41.678618, -87.559308000000001)",1368,41.678618,-87.559308
"(41.680945999999999, -87.535197999999994)",2595,41.680946,-87.535198
"(41.682586999999998, -87.707972999999996)",2575,41.682587,-87.707973
"(41.686397999999997, -87.531634999999994)",852,41.686398,-87.531635
"(41.688324000000001, -87.676709000000002)",1312,41.688324,-87.676709
"(41.692554999999999, -87.598865000000004)",91,41.692555,-87.598865
"(41.702723999999996, -87.536496999999997)",2988,41.702724,-87.536497
"(41.704335999999998, -87.703735999999992)",593,41.704336,-87.703736
"(41.704571999999999, -87.565666000000007)",3315,41.704572,-87.565666
"(41.717753000000002, -87.531656999999996)",239,41.717753,-87.531657
"(41.719059000000001, -87.675088000000002)",126,41.719059,-87.675088
"(41.719140000000003, -87.669539)",41,41.71914,-87.669539
"(41.720847999999997, -87.666014000000004)",1197,41.720848,-87.666014
"(41.721474000000001, -87.648064000000005)",185,41.721474,-87.648064
"(41.723195000000004, -87.649969999999996)",374,41.723195,-87.64997
"(41.725516999999996, -87.614257999999992)",70,41.725517,-87.614258
"(41.726465000000005, -87.585413000000003)",9936,41.726465,-87.585413
"(41.728495000000002, -87.600963000000007)",1179,41.728495,-87.600963
"(41.729669000000001, -87.582699000000005)",86,41.729669,-87.582699
"(41.731921999999997, -87.677511999999993)",578,41.731922,-87.677512
"(41.732984000000002, -87.649642)",1371,41.732984,-87.649642
"(41.733643000000001, -87.555509999999998)",138,41.733643,-87.55551
"(41.737051999999998, -87.543067000000008)",65,41.737052,-87.543067
"(41.738903000000001, -87.695443000000012)",18,41.738903,-87.695443
"(41.740640999999997, -87.546587000000002)",1113,41.740641,-87.546587
"(41.743402000000003, -87.731435000000005)",2014,41.743402,-87.731435
"(41.74785, -87.702716000000009)",19,41.74785,-87.702716
"(41.750498, -87.605294000000001)",865,41.750498,-87.605294
"(41.753391000000001, -87.707393999999994)",34,41.753391,-87.707394
"(41.753411, -87.639817000000008)",28,41.753411,-87.639817
"(41.754292, -87.590772999999999)",336,41.754292,-87.590773
"(41.754676000000003, -87.612921999999998)",460,41.754676,-87.612922
"(41.759346000000001, -87.745602000000005)",197,41.759346,-87.745602
"(41.763733000000002, -87.742301999999995)",215,41.763733,-87.742302
"(41.766202, -87.562888999999998)",335,41.766202,-87.562889
"(41.768388000000002, -87.678648999999993)",439,41.768388,-87.678649
"(41.771659999999997, -87.703046999999998)",1356,41.77166,-87.703047
"(41.772846000000001, -87.740029000000007)",61,41.772846,-87.740029
"(41.773215, -87.600880000000004)",852,41.773215,-87.60088
"(41.775050999999998, -87.655356000000012)",17,41.775051,-87.655356
"(41.776156, -87.778926999999996)",530,41.776156,-87.778927
"(41.776428000000003, -87.627095999999995)",557,41.776428,-87.627096
"(41.778296999999995, -87.752410999999995)",1076,41.778297,-87.752411
"(41.778748, -87.586427)",70,41.778748,-87.586427
"(41.781416, -87.776531999999989)",65,41.781416,-87.776532
"(41.793818000000002, -87.654234000000002)",848,41.793818,-87.654234
"(41.794781, -87.615988999999999)",25,41.794781,-87.615989
"(41.797615999999998, -87.797893999999999)",90,41.797616,-87.797894
"(41.798696999999997, -87.736812)",2161,41.798697,-87.736812
"(41.799281999999998, -87.585487000000001)",52,41.799282,-87.585487
"(41.800736999999998, -87.711880000000008)",623,41.800737,-87.71188
"(41.801178999999998, -87.679446999999996)",840,41.801179,-87.679447
"(41.801497999999995, -87.763416000000007)",1543,41.801498,-87.763416
"(41.803422999999995, -87.642983999999998)",892,41.803423,-87.642984
"(41.821581999999999, -87.627795999999989)",207,41.821582,-87.627796
"(41.822535999999999, -87.666343000000012)",921,41.822536,-87.666343
"(41.823065, -87.678378000000009)",23,41.823065,-87.678378
"(41.825609999999998, -87.726549000000006)",607,41.82561,-87.726549
"(41.825901999999999, -87.667827000000003)",47,41.825902,-87.667827
"(41.836644, -87.677736999999993)",94,41.836644,-87.677737
"(41.837084999999995, -87.729383999999996)",52,41.837085,-87.729384
"(41.843810999999995, -87.686762999999999)",52,41.843811,-87.686763
"(41.846074999999999, -87.716277000000005)",398,41.846075,-87.716277
"(41.846283, -87.656913000000003)",33,41.846283,-87.656913
"(41.852651999999999, -87.719887)",6,41.852652,-87.719887
"(41.857402, -87.694991000000002)",193,41.857402,-87.694991
"(41.862291999999997, -87.648859999999999)",135,41.862292,-87.64886
"(41.867108000000002, -87.654223999999999)",1796,41.867108,-87.654224
"(41.868077, -87.666900999999996)",1685,41.868077,-87.666901
"(41.868141999999999, -87.696269000000001)",997,41.868142,-87.696269
"(41.869107, -87.696293000000011)",125,41.869107,-87.696293
"(41.869215999999994, -87.627561)",114,41.869216,-87.627561
"(41.878114000000004, -87.629797999999994)",402,41.878114,-87.629798
"(41.883284000000003, -87.705084999999997)",36,41.883284,-87.705085
"(41.891117999999999, -87.654491000000007)",616,41.891118,-87.654491
"(41.891126, -87.611559999999997)",72,41.891126,-87.61156
"(41.896281999999999, -87.655231999999998)",260,41.896282,-87.655232
"(41.899229999999996, -87.716787999999994)",1802,41.89923,-87.716788
"(41.903002000000001, -87.68826700000001)",666,41.903002,-87.688267
"(41.904193999999997, -87.756155000000007)",644,41.904194,-87.756155
"(41.906638000000001, -87.701430999999999)",680,41.906638,-87.701431
"(41.907645000000002, -87.760885999999999)",256,41.907645,-87.760886
"(41.911823999999996, -87.726737)",404,41.911824,-87.726737
"(41.912562999999999, -87.66805500000001)",286,41.912563,-87.668055
"(41.916265000000003, -87.800515000000004)",1969,41.916265,-87.800515
"(41.918704999999996, -87.752329000000003)",188,41.918705,-87.752329
"(41.919342999999998, -87.694259000000002)",68,41.919343,-87.694259
"(41.921177, -87.795180000000002)",171,41.921177,-87.79518
"(41.921599999999998, -87.666454999999999)",351,41.9216,-87.666455
"(41.921965, -87.632085000000004)",1062,41.921965,-87.632085
"(41.923738, -87.785287999999994)",1193,41.923738,-87.785288
"(41.925197999999995, -87.746381)",300,41.925198,-87.746381
"(41.925651999999999, -87.633589999999998)",145,41.925652,-87.63359
"(41.932093999999999, -87.700117000000006)",489,41.932094,-87.700117
"(41.940159999999999, -87.794895999999994)",688,41.94016,-87.794896
"(41.942114000000004, -87.776385000000005)",50,41.942114,-87.776385
"(41.944868999999997, -87.832763)",1311,41.944869,-87.832763
"(41.947227000000005, -87.67145699999999)",284,41.947227,-87.671457
"(41.948166999999998, -87.730698000000004)",395,41.948167,-87.730698
"(41.949829999999999, -87.698456999999991)",72,41.94983,-87.698457
"(41.951865999999995, -87.725056999999993)",643,41.951866,-87.725057
"(41.953066999999997, -87.776792)",58,41.953067,-87.776792
"(41.953704999999999, -87.733974000000003)",25,41.953705,-87.733974
"(41.954689999999999, -87.800990999999996)",3710,41.95469,-87.800991
"(41.957799000000001, -87.930994999999996)",2327,41.957799,-87.930995
"(41.958271000000003, -87.702574999999996)",114,41.958271,-87.702575
"(41.960615999999995, -87.777189000000007)",233,41.960616,-87.777189
"(41.961742999999998, -87.760069999999999)",39,41.961743,-87.76007
"(41.962728000000006, -87.748367000000002)",59,41.962728,-87.748367
"(41.963976000000002, -87.691810000000004)",631,41.963976,-87.69181
"(41.964241999999999, -87.757638999999998)",1346,41.964242,-87.757639
"(41.966986999999996, -87.674677000000003)",50,41.966987,-87.674677
"(41.970247999999998, -87.787992000000003)",364,41.970248,-87.787992
"(41.973845000000004, -87.805059)",1281,41.973845,-87.805059
"(41.974088999999999, -87.824811999999994)",169,41.974089,-87.824812
"(41.974688999999998, -87.890614999999997)",15386,41.974689,-87.890615
"(41.979242999999997, -87.750938000000005)",72,41.979243,-87.750938
"(41.981964000000005, -87.812826999999999)",463,41.981964,-87.812827
"(41.984809000000006, -87.728492000000003)",666,41.984809,-87.728492
"(41.986921000000002, -87.689778000000004)",1020,41.986921,-87.689778
